NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience negative?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21583052	10.06.2022 13:51	10.06.2022 13:51	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ea2d9b1159f0e2092bc0210	Caress		Partner		The interaction partner mainly took the initiative	To lead to sex	I did not want that	..	6	4	5	3	4	5	5	Not applicable	3		2	In bed while I was asleep	Moderately	Not at all	A little	Not at all	A little	Not at all	A little	A little	A little	Not at all	Not at all	A little	A little	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	A little	A little	Not at all	A little	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	38	Female		5 minutes 14 seconds
21583120	10.06.2022 13:56	10.06.2022 13:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60fd716a3aaa620c30bb4909	Hug		Acquaintance	A first date with a guy, sort of acquaintance but a stranger	The interaction partner mainly took the initiative	To say goodbye	It lasted too long	.	8	3	4	1	10	4	10		1		4	In my house hallway as he was leaving	Not at all	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Very much	Not at all	Moderately	Moderately	Moderately	Quite a bit	A little	Not at all	Moderately	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	24	Female	Female	6 minutes 18 seconds
21583136	10.06.2022 13:56	10.06.2022 13:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f2711c1aeb8314d30c7319a	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	a friendly side hug	i was drunk and i felt vulnerable	.	3	2	8	1	1	2	10		9		4	in a bar drinking with friends.	Not at all	A little	Not at all	Not at all	Not at all	A little	Not at all	A little	Moderately	Not at all	Quite a bit	Moderately	A little	Very much	Moderately	Not at all	Quite a bit	Quite a bit	Moderately	Quite a bit	Very much	Moderately	A little	Not at all	Not at all	Not at all	A little	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	20	Female		8 minutes 8 seconds
21583152	10.06.2022 13:58	10.06.2022 13:58	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b4930e28a916c00011903e8			Partner		The interaction partner mainly took the initiative	To say hello	Didn't feel comfortable	.	4	8	4	8	7	8	8		3		8	In the kitchen	Quite a bit	Moderately	A little	Quite a bit	Moderately	Quite a bit	Moderately	A little	Moderately	Moderately	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Moderately	A little	Moderately	Not at all	A little	A little	Moderately	Quite a bit	A little	Moderately	Quite a bit	Quite a bit	Moderately (3)	A little (2)	A little (2)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	A little (2)	A little (2)	Quite a bit (4)	Moderately (3)	A little (2)	Not at all (1)	40	Female		4 minutes 15 seconds
21583207	10.06.2022 14:01	10.06.2022 14:01	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60fbf4d7cfe30967ace0fa19	Hug		Partner		I mainly took the initiative	Care	Sometimes awkward	...	6	3	5	4	4	3	4		5		4	Home.	A little	Moderately	A little	Moderately	A little	Not at all	A little	A little	Moderately	A little	Quite a bit	A little	Moderately	A little	Moderately	A little	A little	A little	Moderately	A little	Moderately	Moderately	Quite a bit	Quite a bit	A little	A little	A little	A little (2)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	A little (2)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	Quite a bit (4)	A little (2)	Moderately (3)	A little (2)	A little (2)	A little (2)	Not at all (1)	38	Male		3 minutes 26 seconds
21583209	10.06.2022 14:01	10.06.2022 14:01	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5cd043b25b04850017e5d028	Handshake		Acquaintance		The interaction partner mainly took the initiative	To greet	Hand was clammy	.	6	5	8	3	4	6	3		3		3	Greeting in work	Moderately	Not at all	Moderately	Not at all	Moderately	Moderately	Moderately	Moderately	Quite a bit	A little	A little	A little	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	A little	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	56	Female		5 minutes 54 seconds
21583225	10.06.2022 14:02	10.06.2022 14:02	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c62b718bad3560001c26c95	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	Too start a hug	I don’t know this person well enough too be touched in that way	.	9	3	3	2	4	3	6	Not applicable		Not applicable	2	At work getting coffee	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	52	Female		6 minutes 56 seconds
21583227	10.06.2022 14:02	10.06.2022 14:02	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e07938c946e970ff5703d97	Caress		Family member		The interaction partner mainly took the initiative	To get a reaction	I did not appreciate or want it	.	2	1	3	1	1	1	6	Not applicable	10		0	In a restaurant ordering drinks	Not at all	Not at all	Not at all	Not at all	A little	Moderately	A little	Moderately	Quite a bit	Moderately	A little	Moderately	Quite a bit	Quite a bit	Very much	Moderately	A little	A little	Moderately	A little	Not at all	Moderately	A little	A little	Moderately	Quite a bit	A little	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	A little (2)	A little (2)	25	Female		5 minutes 16 seconds
21583228	10.06.2022 14:02	10.06.2022 14:02	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d70443e6f0a380017545335	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	To connect with me	Because it was not welcome but imposed	.	6	4	4	4	4	6	6	Not applicable	5		1	At a pub	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	A little	A little	A little	A little	A little	A little	Moderately	A little	A little	A little	A little	A little	A little	A little	A little	A little	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	37	Female		3 minutes 45 seconds
21583238	10.06.2022 14:03	10.06.2022 14:03	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	577a5755da1c780001b63df8		punch	Partner		The interaction partner mainly took the initiative	hurt	yes as was hurt	.....	2	2	9	2	1	2	6		10		1	in the kitchen at home	Not at all	Quite a bit	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Extremely (5)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	44	Female		3 minutes 57 seconds
21583244	10.06.2022 14:03	10.06.2022 14:03	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5a52669aacc75b000179c9b4	Handshake		Acquaintance		The interaction partner mainly took the initiative	Introduction	They had  really sweaty palm	.	8	3	3	3	3	9	1		3		8	In a bar	Quite a bit	Very much	A little	Moderately	Quite a bit	Quite a bit	Very much	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Very much	Moderately	Quite a bit	Extremely (5)	Quite a bit (4)	Not at all (1)	Moderately (3)	Quite a bit (4)	Moderately (3)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Extremely (5)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	Extremely (5)	Moderately (3)	Quite a bit (4)	A little (2)	53	Female		5 minutes 19 seconds
21583250	10.06.2022 14:04	10.06.2022 14:04	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f959198afcad03e98ee113f	Handshake		Stranger		We both took the initiative	To say hello and Merton dach other	The other person had a wet, sweaty and cold hand	.	8	2	4	2	4	10	1		5		10	On a street	Moderately	Quite a bit	Very much	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Very much	A little	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	A little	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	A little (2)	A little (2)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	Not at all (1)	45	Female		11 minutes 53 seconds
21583262	10.06.2022 14:05	10.06.2022 14:05	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	615ad66cc19a3442de1019c1	Caress		Partner		The interaction partner mainly took the initiative	express attraction	new relationship, I wasn't comfortable with the implications behind the touch, too intimate	.	9	5	6	3	7	8	8		3		7	sitting on the floor of her bedroom	Moderately	Quite a bit	Moderately	A little	A little	Moderately	A little	Moderately	Moderately	A little	Moderately	Moderately	Moderately	Moderately	Not at all	A little	Not at all	A little	Not at all	Quite a bit	Quite a bit	Moderately	A little	A little	Moderately	A little	Moderately	Moderately (3)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	A little (2)	24	Non-binary		9 minutes 24 seconds
21583271	10.06.2022 14:05	10.06.2022 14:05	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60c24c8c17977daa8803f85f	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	To show sympathy	It was a false reaction from the other person.	.	9	1	2	1	1	3	6			Not applicable	0	Outside the office	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	29	Female		3 minutes 34 seconds
21583272	10.06.2022 14:05	10.06.2022 14:05	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	59cfb31e4f2d3d0001d8e009	Caress		Acquaintance		The interaction partner mainly took the initiative	Reassurance	Felt patronising	....	7	4	6	3	6	5	5		3		1	At work my manager touched my arm to reassure me	Moderately	A little	Moderately	A little	Moderately	Moderately	Moderately	A little	A little	Not at all	A little	Moderately	Not at all	A little	Moderately	A little	Not at all	A little	A little	A little	Moderately	A little	Not at all	A little	Not at all	Not at all	Not at all	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	A little (2)	A little (2)	A little (2)	A little (2)	A little (2)	A little (2)	Moderately (3)	34	Female		8 minutes 12 seconds
21583273	10.06.2022 14:05	10.06.2022 14:05	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5aeab71e1aff900001cc12ff	Caress		Colleague		The interaction partner mainly took the initiative	To pass a biscuit	No need to touch so much	.	7	4	3	2	2	5	10		8		2	Sat next to each other at desks	Moderately	A little	A little	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	29	Female		6 minutes 6 seconds
