NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience positive?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21562922	09.06.2022 12:56	09.06.2022 12:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60607526ff89564c7dee871e	Hug		Family member		The interaction partner mainly took the initiative	Showing love	It was spontaneous and done with love	......	7	10	7	10	8	10	1	Not applicable	5		3	Sitting on the sofa	Quite a bit	Quite a bit	Very much	Very much	A little	Very much	Very much	Very much	Very much	Very much	Quite a bit	A little	Very much	Very much	Very much	Very much	Very much	Very much	Quite a bit	Quite a bit	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	46	Female		4 minutes 23 seconds
21562940	09.06.2022 12:56	09.06.2022 12:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d8ced0f72ef660018e1d4f9	Hug		Partner		We both took the initiative	Closeness	Being present and noticing	....	8	9	6	8	5	9	7		6		4	At home. Mid way through changing our baby for bed	A little	Moderately	Quite a bit	Quite a bit	A little	Quite a bit	Quite a bit	Quite a bit	Very much	Moderately	Moderately	A little	Moderately	Quite a bit	Quite a bit	Moderately	A little	A little	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Moderately	A little	Quite a bit	Quite a bit	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	34	Female		5 minutes 54 seconds
21562960	09.06.2022 12:57	09.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5969e63d06679c00014b82ac	Hug		Family member		We both took the initiative	Happy to see each other	Yes	......	10	10	7	10	9	10	1	Not applicable		Not applicable	10	At my home, seeing my grandchild after they had been away in holiday	Not at all	Not at all	Very much	Moderately	Not at all	Quite a bit	Moderately	Very much	Very much	Quite a bit	Moderately	Moderately	Very much	Moderately	Quite a bit	Moderately	A little	Quite a bit	Very much	A little	Very much	Very much	Very much	Very much	Very much	Quite a bit	Very much	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	53	Female		7 minutes 1 second
21563023	09.06.2022 13:00	09.06.2022 13:00	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	57b6e26a1836cb000137b5ba	Hug		Acquaintance		The interaction partner mainly took the initiative	greeting after long time no see	it was sincere with a genuine pleasure in seeing me	..	8	10	10	10	8	9	1	Not applicable	2		1	in a shop	Not at all	A little	Moderately	Not at all	Very much	Quite a bit	Very much	Quite a bit	Moderately	Quite a bit	A little	Quite a bit	Very much	Moderately	Very much	Quite a bit	Not at all	Very much	Quite a bit	Very much	A little	Moderately	Very much	Very much	Very much	A little	Moderately	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	71	Female		8 minutes 38 seconds
21563067	09.06.2022 13:02	09.06.2022 13:02	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e2819f0dbc670a1f79158d5	Kiss		Family member		The interaction partner mainly took the initiative	to say goodnight	because the young family member chose to kiss my cheek to say goodnight	......	10	1	8	10	2	10	10		5		7	in bed while reading bedtime story	Not at all	A little	Very much	Not at all	Quite a bit	Moderately	Not at all	Moderately	Very much	Not at all	Not at all	Not at all	A little	Quite a bit	Moderately	Moderately	A little	Moderately	Quite a bit	Not at all	Moderately	Moderately	Not at all	Not at all	Not at all	A little	A little	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	37	Female		8 minutes 13 seconds
21563085	09.06.2022 13:02	09.06.2022 13:02	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60a599593185ed7dff632c35	Hand on the shoulder		Colleague		We both took the initiative	We greeting each other like this	respect	.....	8	10	10	10	7	8	3	Not applicable	6		10	He works on night Im on 2-10 at shift handover we always greeting each other like this	Quite a bit	Moderately	Very much	Quite a bit	Quite a bit	Quite a bit	Very much	Very much	Very much	Moderately	Moderately	Quite a bit	Very much	Very much	Quite a bit	Quite a bit	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Quite a bit	Very much	A little	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	27	Female		8 minutes 31 seconds
21563124	09.06.2022 13:04	09.06.2022 13:04	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5aa1bd0a35237b000112df05	Hug		Partner		We both took the initiative	Comfort and love	I was sad he was making me feel better	.	10	10	5	10	7	10	5	Not applicable		Not applicable	7	In the morning in the kitchen standing up	Quite a bit	Moderately	Very much	Very much	Moderately	Very much	Very much	Very much	Quite a bit	Very much	A little	Moderately	Very much	Quite a bit	Quite a bit	Very much	Very much	Very much	Quite a bit	Moderately	Quite a bit	Quite a bit	Very much	Very much	Very much	Quite a bit	Quite a bit	Extremely (5)	A little (2)	Moderately (3)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	42	Female		7 minutes 17 seconds
21563154	09.06.2022 13:05	09.06.2022 13:05	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6057767cb0d30dbbea0239af	Hug		Partner		We both took the initiative	Happy to see each other	Got to see each other	......	10	10	8	10	7	10	5	Not applicable	2		8	Standing in bedroom	Quite a bit	Not at all	Very much	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Very much	Very much	Moderately	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Very much	Quite a bit	Quite a bit	A little	Very much	Quite a bit	Quite a bit	Quite a bit	A little	Moderately	Very much	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	19	Female		6 minutes 22 seconds
21563181	09.06.2022 13:06	09.06.2022 13:06	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e4bb0f7ca27c10ac03edb57	Hug		Acquaintance		We both took the initiative	Greeting	Part of a happy moment	.	7	9	8	8	5	9	1	Not applicable	5		6	In a cafe	A little	A little	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	A little	Not at all	Not at all	Not at all	Moderately	Quite a bit	Moderately	Not at all	Quite a bit	Quite a bit	Not at all	Moderately	Moderately	Moderately	Moderately	Not at all	Moderately	Moderately	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	45	Female		6 minutes 31 seconds
21563187	09.06.2022 13:06	09.06.2022 13:06	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ea2d24bb39fb420194e9b00	Hug	All of the above	Partner		We both took the initiative	to be nice to each other	because we love each other	......	9	1	6	10	6	10	5	Not applicable		Not applicable	7	at home while cooking	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	29	Female		7 minutes 48 seconds
21563191	09.06.2022 13:06	09.06.2022 13:06	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	616f1a4a575c96329a120a78	Hug		Partner		The interaction partner mainly took the initiative	To show love	Yes	......	8	10	10	10	6	10	5	Not applicable	5	Not applicable	6	On the couch in our house	Moderately	Not at all	Very much	Quite a bit	Moderately	Quite a bit	Quite a bit	A little	Very much	Very much	Moderately	A little	Quite a bit	Quite a bit	Moderately	A little	Quite a bit	Moderately	A little	A little	Quite a bit	A little	Moderately	Moderately	Not at all	Quite a bit	Moderately	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	A little (2)	Quite a bit (4)	33	Female	Female	11 minutes 39 seconds
21563195	09.06.2022 13:06	09.06.2022 13:06	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6155cd98086d9a18faef1f9f	Hug		Partner		We both took the initiative	My partner had been away for work all week so it was a nice greeting	Because I had missed him	......	7	10	7	10	8	10	5	Not applicable		Not applicable	10	On the driveway outside our house	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	Very much	Very much	Moderately	Moderately	Quite a bit	Quite a bit	Very much	Quite a bit	Very much	Very much	Quite a bit	Quite a bit	Quite a bit	Very much	Very much	Very much	Very much	Quite a bit	Quite a bit	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	26	Female		6 minutes 39 seconds
21563237	09.06.2022 13:08	09.06.2022 13:08	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ff5dff5e313fd0baa1331b1	Hug		Partner		The interaction partner mainly took the initiative	To comfort me	It was comforting and what I needed in the moment as I didn't want to talk about it	....	8	9	9	5	7	8	6	Not applicable		Not applicable	7	Standing outside the car following a disagreement	Not at all	Not at all	Quite a bit	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all	Not at all	Not at all	Quite a bit	Moderately	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	29	Female		7 minutes 44 seconds
21563245	09.06.2022 13:08	09.06.2022 13:08	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e2f1a5125da8b4e29b6c6fd	Hug		Family member		We both took the initiative	Comfort	It was healing - it brought comfort	......	10	10	10	10	6	10	10	Not applicable	5		10	At home, sat on the end of my bed.	Very much	Not at all	Very much	Not at all	Very much	Very much	Very much	Very much	Very much	Very much	Not at all	Quite a bit	Very much	Very much	Very much	Moderately	Quite a bit	Very much	Very much	Not at all	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Extremely (5)	Moderately (3)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	42	Female		7 minutes 7 seconds
21563261	09.06.2022 13:09	09.06.2022 13:09	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d1bb1ba36b2500019b307fa	Hug		Friend		We both took the initiative	Greeting	It felt comforting	.	10	10	9	10	6	10	5	Not applicable	5		10	Gŕeeting outside my house	Not at all	Not at all	Very much	A little	A little	A little	Moderately	Quite a bit	Very much	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	Moderately	Moderately	Not at all	Moderately	Not at all	A little	Moderately	A little	A little	Quite a bit	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	36	Female		12 minutes
